time, qType, question, expectedAns, qAns
357ms,0,"G",,,
429ms,0,"f",,,
539ms,0,"T",,,
346ms,0,"t",,,
348ms,0,"H",,,
372ms,0,"P",,,
336ms,0,"A",,,
357ms,0,"t",,,
338ms,0,"F",,,
315ms,0,"t",,,
307ms,0,"t",,,
423ms,0,"b",,,
304ms,0,"h",,,
344ms,0,"r",,,
329ms,0,"E",,,
316ms,0,"B",,,
346ms,0,"P",,,
302ms,0,"B",,,
447ms,0,"a",,,
370ms,0,"f",,,
303ms,0,"h",,,
305ms,0,"G",,,
289ms,0,"T",,,
325ms,0,"M",,,
283ms,0,"P",,,
496ms,0,"e",,,
360ms,0,"r",,,
307ms,0,"R",,,
378ms,0,"B",,,
383ms,0,"R",,,
320ms,0,"B",,,
305ms,0,"F",,,
348ms,0,"E",,,
350ms,0,"B",,,
335ms,0,"h",,,
374ms,0,"R",,,
330ms,0,"T",,,
405ms,0,"f",,,
391ms,0,"p",,,
323ms,0,"B",,,
330ms,0,"p",,,
375ms,0,"A",,,
321ms,0,"b",,,
311ms,0,"e",,,
304ms,0,"P",,,
334ms,0,"b",,,
367ms,0,"f",,,
337ms,0,"t",,,
316ms,0,"m",,,
303ms,0,"P",,,
400ms,0,"t",,,
350ms,0,"G",,,
383ms,0,"P",,,
365ms,0,"F",,,
306ms,0,"b",,,
336ms,0,"H",,,
315ms,0,"G",,,
323ms,0,"A",,,
401ms,0,"t",,,
322ms,0,"b",,,
338ms,0,"f",,,
323ms,0,"f",,,
358ms,0,"F",,,
348ms,0,"F",,,
338ms,0,"F",,,
369ms,0,"G",,,
327ms,0,"E",,,
605ms,0,"f",,,
357ms,0,"a",,,
373ms,0,"T",,,
312ms,0,"e",,,
358ms,0,"p",,,
372ms,0,"f",,,
396ms,0,"R",,,
390ms,0,"r",,,
326ms,0,"a",,,
323ms,0,"r",,,
328ms,0,"E",,,
359ms,0,"r",,,
357ms,0,"e",,,
314ms,0,"t",,,
328ms,0,"E",,,
357ms,0,"m",,,
314ms,0,"A",,,
334ms,0,"m",,,
324ms,0,"e",,,
337ms,0,"e",,,
344ms,0,"R",,,
368ms,0,"e",,,
355ms,0,"h",,,
335ms,0,"a",,,
347ms,0,"A",,,
348ms,0,"F",,,
385ms,0,"a",,,
344ms,0,"t",,,
405ms,0,"B",,,
412ms,0,"G",,,
284ms,0,"R",,,
445ms,0,"G",,,
315ms,0,"g",,,
